"Order ID","Merchant Order ID",SKU,ASIN,Title,"Purchase Date","Last Update Date","Order Status",Fullfillment,"Item Status",Quantity,"Item Price","Item Tax","Shipping Price","Shipping Tax","Gift Price","Gift Tax","Item Promotional Discount","Shipping Promotional Discount","Promotional ID","Shipping City","Shipping State","Shipping Post","Shipping country"
111-2332942-4573810,111-2332942-4573810,LF2017RMS22-072117-A,B074539PSF,"LiveFresh Large Stainless Steel Fine Mesh Strainer with Reinforced Frame and Sturdy Rubber Handle Grip - Designed for Chefs and Commercial Kitchens &",2018-12-31,2018-12-31,Pending,Amazon,Unshipped,1.0,17.97,,,,,,,,"US Core Free Shipping Promotion A3JU1FCINF5SD0",Miami,Florida,33172,US
113-9723287-8662620,113-9723287-8662620,5J-C9MU-08T2,B00RN907C2,"LiveFresh Mesh Strainer Stainless Set - Premium Fine Stainless Steel Fine Mesh Strainers Colanders and Sifters Crafted for Quinoa & Amaranth with Com",2018-12-31,2018-12-31,Shipped,Amazon,Shipped,1.0,20.97,,,,,,,,,EUGENE,OR,97405-3519,US
111-8576268-3915451,111-8576268-3915451,5J-C9MU-08T2,B00RN907C2,"LiveFresh Mesh Strainer Stainless Set - Premium Fine Stainless Steel Fine Mesh Strainers Colanders and Sifters Crafted for Quinoa & Amaranth with Com",2018-12-31,2018-12-31,Pending,Amazon,Unshipped,1.0,20.97,,,,,,,,,DAYTON,OH,45424-4752,US
113-2509936-8980216,113-2509936-8980216,LF2017RMS22-072117-A,B074539PSF,"LiveFresh Large Stainless Steel Fine Mesh Strainer with Reinforced Frame and Sturdy Rubber Handle Grip - Designed for Chefs and Commercial Kitchens &",2018-12-31,2018-12-31,Pending,Amazon,Unshipped,1.0,17.97,,,,,,,,,Middletown,DE,19709-4652,US
112-5069543-7570624,112-5069543-7570624,THD-TD0072-0-072418-3.74,B00DQH2UY8,"Traditional Medicinals Tea Raspberry Leaf",2018-12-31,2018-12-31,Pending,Amazon,Unshipped,1.0,10.60,,,,,,,,,"WEST BRIDGEWATER",MA,02379-1222,US
112-2009232-7334600,112-2009232-7334600,9D-YS1D-95HO,B00XGL85HK,"LiveFresh Premium Fine Mesh Stainless Steel Strainer with Non Slip Handle for Quinoa Tea Soup Sifting Baking Straining - 5-1/2 Inch",2018-12-31,2018-12-31,Shipped,Amazon,Shipped,1.0,14.97,,,,,,,,,ARLINGTON,TX,76006-7320,US
114-0436979-1795431,114-0436979-1795431,5J-C9MU-08T2,B00RN907C2,"LiveFresh Mesh Strainer Stainless Set - Premium Fine Stainless Steel Fine Mesh Strainers Colanders and Sifters Crafted for Quinoa & Amaranth with Com",2018-12-31,2018-12-31,Pending,Amazon,Unshipped,1.0,19.99,,,,,,,,,NORTHRIDGE,CA,91325-3437,US
112-6591313-8240207,112-6591313-8240207,1H-VG33-OKFI,B0166P6QNM,"LiveFresh Stainless Steel Micro-perforated 5-Quart Colander - Professional Strainer with Heavy Duty Handles and Self-draining Solid Ring Base - Dishwa",2018-12-31,2018-12-31,Pending,Amazon,Unshipped,1.0,20.75,,,,,,,,,"YORBA LINDA",CA,92886-6404,US
114-2594351-8893002,114-2594351-8893002,1H-VG33-OKFI,B0166P6QNM,"LiveFresh Stainless Steel Micro-perforated 5-Quart Colander - Professional Strainer with Heavy Duty Handles and Self-draining Solid Ring Base - Dishwa",2018-12-31,2018-12-31,Shipped,Amazon,Shipped,1.0,20.75,,,,,,,,,PEWAUKEE,WI,53072-2107,US
113-8287621-3052234,113-8287621-3052234,9D-YS1D-95HO,B00XGL85HK,"LiveFresh Premium Fine Mesh Stainless Steel Strainer with Non Slip Handle for Quinoa Tea Soup Sifting Baking Straining - 5-1/2 Inch",2018-12-31,2018-12-31,Shipped,Amazon,Shipped,1.0,14.97,1.13,,,,,,,,Plymouth,MN,55446,US
112-0325306-6461840,112-0325306-6461840,5J-C9MU-08T2,B00RN907C2,"LiveFresh Mesh Strainer Stainless Set - Premium Fine Stainless Steel Fine Mesh Strainers Colanders and Sifters Crafted for Quinoa & Amaranth with Com",2018-12-31,2018-12-31,Shipped,Amazon,Shipped,1.0,20.97,,,,,,,,,WALTHAM,MA,02453-5106,US
111-9442651-7701816,111-9442651-7701816,1H-VG33-OKFI,B0166P6QNM,"LiveFresh Stainless Steel Micro-perforated 5-Quart Colander - Professional Strainer with Heavy Duty Handles and Self-draining Solid Ring Base - Dishwa",2018-12-31,2018-12-31,Shipped,Amazon,Shipped,1.0,20.75,,,,,,,,,GRAFTON,WV,26354-1891,US
112-9445504-7977863,112-9445504-7977863,LF17CC502YD-112017-SL,B075SLR878,"LiveFresh Unbleached Cheesecloth with 50' All-Natural Unbleached Cooking Twine and Cheesemaking Guide eBook - Grade 50 2.5 Yards (22.5 sq. feet) - Wa",2018-12-30,2018-12-31,Shipped,Amazon,Shipped,1.0,5.97,,,,,,,,,INDIANAPOLIS,IN,46239-8784,US
114-8095463-6982651,114-8095463-6982651,LF17CC502YD-112017-SL,B075SLR878,"LiveFresh Unbleached Cheesecloth with 50' All-Natural Unbleached Cooking Twine and Cheesemaking Guide eBook - Grade 50 2.5 Yards (22.5 sq. feet) - Wa",2018-12-30,2018-12-31,Shipped,Amazon,Shipped,1.0,5.97,,,,,,,,,MADISON,WI,53703-6515,US
113-3891805-5830611,113-3891805-5830611,1H-VG33-OKFI,B0166P6QNM,"LiveFresh Stainless Steel Micro-perforated 5-Quart Colander - Professional Strainer with Heavy Duty Handles and Self-draining Solid Ring Base - Dishwa",2018-12-31,2018-12-31,Shipped,Amazon,Shipped,1.0,20.75,1.37,,,,,,,,"OLD TAPPAN",NJ,07675-7419,US
113-3891805-5830611,113-3891805-5830611,LF2017RMS22-072117-A,B074539PSF,"LiveFresh Large Stainless Steel Fine Mesh Strainer with Reinforced Frame and Sturdy Rubber Handle Grip - Designed for Chefs and Commercial Kitchens &",2018-12-31,2018-12-31,Shipped,Amazon,Shipped,1.0,17.97,1.19,,,,,,,,"OLD TAPPAN",NJ,07675-7419,US
111-0860423-3949812,111-0860423-3949812,LF2017RMS22-072117-A,B074539PSF,"LiveFresh Large Stainless Steel Fine Mesh Strainer with Reinforced Frame and Sturdy Rubber Handle Grip - Designed for Chefs and Commercial Kitchens &",2018-12-30,2018-12-31,Shipped,Amazon,Shipped,2.0,35.94,,,,,,,,,COLFAX,NC,27235-9445,US
114-9382106-1955441,114-9382106-1955441,1H-VG33-OKFI,B0166P6QNM,"LiveFresh Stainless Steel Micro-perforated 5-Quart Colander - Professional Strainer with Heavy Duty Handles and Self-draining Solid Ring Base - Dishwa",2018-12-31,2018-12-31,Pending,Amazon,Unshipped,1.0,19.97,,,,,,,,,BROOKLYN,NY,11213-3694,US
111-3761450-6995458,111-3761450-6995458,9D-YS1D-95HO,B00XGL85HK,"LiveFresh Premium Fine Mesh Stainless Steel Strainer with Non Slip Handle for Quinoa Tea Soup Sifting Baking Straining - 5-1/2 Inch",2018-12-30,2018-12-31,Shipped,Amazon,Shipped,1.0,14.97,,,,,,,,,BROOKLYN,"NEW YORK",11205-3291,US
114-8254644-7850623,114-8254644-7850623,1H-VG33-OKFI,B0166P6QNM,"LiveFresh Stainless Steel Micro-perforated 5-Quart Colander - Professional Strainer with Heavy Duty Handles and Self-draining Solid Ring Base - Dishwa",2018-12-31,2018-12-31,Pending,Amazon,Unshipped,1.0,20.75,,,,,,,,,NORTHVILLE,MI,48168-6864,US
113-2279422-0966659,113-2279422-0966659,9D-YS1D-95HO,B00XGL85HK,"LiveFresh Premium Fine Mesh Stainless Steel Strainer with Non Slip Handle for Quinoa Tea Soup Sifting Baking Straining - 5-1/2 Inch",2018-12-30,2018-12-31,Shipped,Amazon,Shipped,1.0,14.97,,,,,,,,,"NEW YORK",NY,10036,US
112-4175936-6023443,112-4175936-6023443,9D-YS1D-95HO,B00XGL85HK,"LiveFresh Premium Fine Mesh Stainless Steel Strainer with Non Slip Handle for Quinoa Tea Soup Sifting Baking Straining - 5-1/2 Inch",2018-12-31,2018-12-31,Pending,Amazon,Unshipped,1.0,14.97,,,,,,,,,ROCKVILLE,MD,20850-1201,US
112-9177770-5605006,112-9177770-5605006,0B-K1IQ-514W,B00UPOVWEO,"LiveFresh Premium Quality Fine Mesh Stainless Steel Strainer Sieve Colander - 7-5/8 Inch",2018-12-31,2018-12-31,Shipped,Amazon,Shipped,1.0,15.57,,,,,,,,,"NEW CITY",NY,10956-2942,US
113-7020177-7628218,113-7020177-7628218,9D-YS1D-95HO,B00XGL85HK,"LiveFresh Premium Fine Mesh Stainless Steel Strainer with Non Slip Handle for Quinoa Tea Soup Sifting Baking Straining - 5-1/2 Inch",2018-12-31,2018-12-31,Shipped,Amazon,Shipped,1.0,14.97,,,,,,,,,"SANTA CLARITA",CA,91351-5008,US
114-3092628-3454633,114-3092628-3454633,1H-VG33-OKFI,B0166P6QNM,"LiveFresh Stainless Steel Micro-perforated 5-Quart Colander - Professional Strainer with Heavy Duty Handles and Self-draining Solid Ring Base - Dishwa",2018-12-31,2018-12-31,Shipped,Amazon,Shipped,1.0,20.75,1.37,,,,,,,,Manasquan,NJ,8736,US
112-7023636-3184232,112-7023636-3184232,1H-VG33-OKFI,B0166P6QNM,"LiveFresh Stainless Steel Micro-perforated 5-Quart Colander - Professional Strainer with Heavy Duty Handles and Self-draining Solid Ring Base - Dishwa",2018-12-30,2018-12-31,Shipped,Amazon,Shipped,1.0,20.75,,,,,,,,,"SAN ANTONIO",TEXAS,78255-3548,US
113-0376337-4037833,113-0376337-4037833,0B-K1IQ-514W,B00UPOVWEO,"LiveFresh Premium Quality Fine Mesh Stainless Steel Strainer Sieve Colander - 7-5/8 Inch",2018-12-30,2018-12-31,Pending,Amazon,Unshipped,1.0,13.97,,,,,,,,,DANDRIDGE,TN,37725-5044,US
111-4273331-9631468,111-4273331-9631468,LF2017RMS22-072117-A,B074539PSF,"LiveFresh Large Stainless Steel Fine Mesh Strainer with Reinforced Frame and Sturdy Rubber Handle Grip - Designed for Chefs and Commercial Kitchens &",2018-12-31,2018-12-31,Shipped,Amazon,Shipped,1.0,17.97,,,,,,,,,plymouth,MI,48170,US
114-8640747-4398622,114-8640747-4398622,ESP-2730077-0-053118-7.64,B002DYIZEE,"OPTIMUM NUTRITION Micronized Creatine Monohydrate Powder Unflavored 300g",2018-12-31,2018-12-31,Shipped,Amazon,Shipped,1.0,16.00,,,,,,,,,"WEST NEW YORK",NJ,07093-8317,US
111-7456141-6377063,111-7456141-6377063,LF2017RMS22-072117-A,B074539PSF,"LiveFresh Large Stainless Steel Fine Mesh Strainer with Reinforced Frame and Sturdy Rubber Handle Grip - Designed for Chefs and Commercial Kitchens &",2018-12-30,2018-12-31,Shipped,Amazon,Shipped,1.0,17.97,,,,,,,,,MIAMI,FL,33173-2945,US
112-7627268-8995441,112-7627268-8995441,5J-C9MU-08T2,B00RN907C2,"LiveFresh Mesh Strainer Stainless Set - Premium Fine Stainless Steel Fine Mesh Strainers Colanders and Sifters Crafted for Quinoa & Amaranth with Com",2018-12-31,2018-12-31,Pending,Amazon,Unshipped,1.0,20.97,,,,,,,,,ENCINO,CA,91316,US
113-9597941-6469849,113-9597941-6469849,1H-VG33-OKFI,B0166P6QNM,"LiveFresh Stainless Steel Micro-perforated 5-Quart Colander - Professional Strainer with Heavy Duty Handles and Self-draining Solid Ring Base - Dishwa",2018-12-30,2018-12-31,Shipped,Amazon,Shipped,1.0,20.75,,,,,,,,,THORP,WI,54771-9438,US
112-9983533-7489868,112-9983533-7489868,1H-VG33-OKFI,B0166P6QNM,"LiveFresh Stainless Steel Micro-perforated 5-Quart Colander - Professional Strainer with Heavy Duty Handles and Self-draining Solid Ring Base - Dishwa",2018-12-31,2018-12-31,Pending,Amazon,Unshipped,1.0,20.75,,,,,,,,,Waterford,MI,48328,US
111-2448885-6946631,111-2448885-6946631,1H-VG33-OKFI,B0166P6QNM,"LiveFresh Stainless Steel Micro-perforated 5-Quart Colander - Professional Strainer with Heavy Duty Handles and Self-draining Solid Ring Base - Dishwa",2018-12-31,2018-12-31,Pending,Amazon,Unshipped,1.0,20.75,,,,,,,,"US Core Free Shipping Promotion A3JU1FCINF5SD0",BROOKLYN,NY,11222-1510,US
111-3804438-1117836,111-3804438-1117836,0B-K1IQ-514W,B00UPOVWEO,"LiveFresh Premium Quality Fine Mesh Stainless Steel Strainer Sieve Colander - 7-5/8 Inch",2018-12-30,2018-12-31,Shipped,Amazon,Shipped,1.0,15.57,,,,,,,,"US Core Free Shipping Promotion A3JU1FCINF5SD0",APO,AE,09464-0059,US
